,Unnamed: 0,license,location,pmcid,pmid,doi,pubdate,source,number,text,software,version,ID,curation_label,software_upper,mention_counts
0,170163,non_comm,non_comm/Zool_Res/PMC7840448.nxml,7840448,33258336.0,10.24272/j.issn.2095-8137.2020.132,2021,paper_abstract,0,"B: Species delimitation using PTP (a) and BPP (b), and nuclear gene species trees reconstructed with *BEAST",*BEAST,,SM36193,software,*BEAST,985
1,229532,,,,,10.1007/s10689-016-9916-2,2016,Results,725,"Predictions included results from Align GVGD, SIFT, Mutation Taster and PolyPhen2",Align,,SM64,software,ALIGN,2180
2,19216,,,,,10.1007/s10858-015-9928-5,2015,paper_abstract,0," The log-harmonic shape for distance restraint potential and the Bayesian weighting of distance restraints, recently introduced in ARIA, were shown to significantly improve the quality and the accuracy of determined structures",ARIA,,SM9947,software,ARIA,2702
3,148521,comm,comm/Sci_Rep/PMC5766544.nxml,5766544,29330416.0,10.1038/s41598-017-19128-6,2018,Virtual Genome Walking,50,An additional elongation step is added whereby the short reads mapping to each contig are assembled using CAP3 with default parameters,CAP3,,SM573,software,CAP3,3845
4,115117,,,,,10.1016/j.nicl.2017.12.015,2017,Voxel-based morphometry (VBM) analysis and statistics,3, Total intracranial volume (TIV) was calculated for each participant through CAT12,CAT12,,SM14985,software,CAT12,1829
5,147352,,,,,10.1371/journal.pone.0040654,2012,Results and Discussion,8," Hence, generating more valuable descriptors from other resources such as CDK, PEDAL, Power-MV may significantly improve the prediction limits",CDK,,SM5849,software,CDK,1419
6,171882,,,,,10.1016/j.omtn.2018.04.013,2018,Materials and Methods,17, Cell cycle phase distribution was determined using Cell Quest Pro software,Cell Quest Pro,,SM28603,software,CELL QUEST PRO,1840
7,135657,comm,comm/Sensors_(Basel)/PMC7827388.nxml,7827388,33435334.0,10.3390/s21020422,2021,4.2. Phase Response Control with Air Inclusions,13,"The cell is studied with the electromagnetic software CST Microwave Studio, setting periodic boundary conditions in the x- and y-axes and open air in the propagation direction z",CST Microwave Studio,,SM23173,software,CST MICROWAVE STUDIO,1981
8,98,,,,,10.1515/jib-2017-0027,2017,Integrative Data Approaches,3,Another approach is the DAISY workflow [,DAISY,,SM40951,software,DAISY,1075
9,112955,comm,comm/Genome_Med/PMC8383430.nxml,8383430,34425903.0,10.1186/s13073-021-00949-0,2021,fig_caption,5,Exon numbers from DEXSeq (Additional file 3: Table S2) are shown on the bottom and right and equivalent CDS numbers are shown on the top and left (see Additional file 3: Table S2),DEXSeq,,SM29161,software,DEXSEQ,2106
10,26804,non_comm,non_comm/ACS_Omega/PMC7114756.nxml,7114756,32258886.0,10.1021/acsomega.9b04140,2020,tab_caption,3,"log Kow and log Kvow from DFT-oct, log Kow (Lit), ALOGPS 2.1, and Elimination Half-Lives for Healthy Adult Subjects",DFT,,SM22892,software,DFT,11743
11,270824,,,,,10.1038/s41467-020-20286-x,2020,Methods,11," This dataset was then subjected to RELION 3D auto-refine using the average determined in Dynamo (low-pass filtered to 40 Å), resulting in a resolution of 11",Dynamo,,SM97,software,DYNAMO,1174
12,13320,,,,,10.1101/2020.03.04.976621,2020,Experimental Procedures,10, An initial model was created using EMAN Common Lines (,EMAN,,SM10019,software,EMAN,1352
13,92390,non_comm,non_comm/Nat_Struct_Mol_Biol/PMC5969528.nxml,5969528,29416113.0,10.1038/s41594-018-0027-7,2018,Subtomogram averaging and data processing,19,"Sub-volumes containing DDB-MT, DDH-MT, or dynein-MT were manually picked from SIRT-reconstructed tomograms with the EMAN2 single-particle tomography boxer program",EMAN2,,SM8695,software,EMAN2,2131
14,94160,comm,comm/Front_Immunol/PMC5303895.nxml,5303895,28243233.0,10.3389/fimmu.2017.00121,2017,,49,Comparison of normalized enrichment scores (NESs) obtained by using gene set enrichment analysis (GSEA) of cellular gene sets (cGS).,enrichment analysis (GSEA),,SM16941,software,ENRICHMENT ANALYSIS (GSEA),1079
15,124329,non_comm,non_comm/Nucleic_Acids_Res/PMC6007693.nxml,6007693,29718321.0,10.1093/nar/gky297,2018,Somatic coding mutations and pathway mapping,12,"Somatic coding single nucleotide variant (SNV) and insertion/deletion (indel) mutation data for the PanNET and melanoma cohorts ((25), Supplementary Table, Table_S5_somatic_maf; (21), Supplementary Table_S2) were classified using the Ensembl Variant Effect Predictor (VEP) (release 89) using the GRch37 reference genome and default settings (28)",Ensembl Variant Effect Predictor (VEP),,SM39612,software,ENSEMBL VARIANT EFFECT PREDICTOR (VEP),178
16,253526,,,,,10.3389/fpsyg.2021.622433,2021,Action Units,0,"For extracting the frame-to-frame activity of the facial AUs, we used the Attention Tool FACET Module (FACET, iMotions), which is a face and AU detection software based on the FACS",FACET,,SM66079,software,FACET,770
17,16292,,,,,10.18632/oncotarget.19738,2017,MATERIALS AND METHODS,6," Subsequently, the cells were stained with PI using the CycleTESTTM PLUS DNA Reagent Kit (BD Biosciences) according to the protocol and analyzed with a flow cytometer (FACScan",FACScan,,SM4636,software,FACSCAN,803
18,199452,comm,comm/ISME_J/PMC4817710.nxml,4817710,25325381.0,10.1038/ismej.2014.195,2015,Statistical analyses and visualization,17,We performed network analyses using Gephi (Bastian ) with ForceAtlas2 layout (http://gephi.org),ForceAtlas2,,SM34862,software,FORCEATLAS2,610
19,1868,,,,,10.1080/01691864.2014.981291,2015,paper_abstract,0," These problems are tackled by (1) TSP signal, (2) GCC-PHAT and a threshold-based onset detection, and (3) rejecting incorrect onset times, respectively",GCC,,SM10892,software,GCC,2169
20,160100,comm,comm/PLoS_One/PMC3233593.nxml,3233593,22163302.0,10.1371/journal.pone.0028438,2011,Discussion,26,Correlation networks were generated using the Weighted Gene Co-expression Network Analysis (WGCNA) [32],Gene Co-expression Network Analysis (WGCNA),,SM17216,software,GENE CO-EXPRESSION NETWORK ANALYSIS (WGCNA),182
21,144911,,,,,http://dx.plos.org/10.1371/journal.pone.0016616,2011,Results,15,GenGen was employed in the pathway analysis,GenGen,,SM91779,software,GENGEN,281
22,113079,comm,comm/PLoS_One/PMC8136732.nxml,8136732,34014965.0,10.1371/journal.pone.0251776,2021,Identification of high-risk areas of landslides contrasted with the results of the CF model,56,"In the case of lithology, the results of the GeoDetector risk detector show that the lithology of the middle Permian limestone sandy slate is most prone to landslides",GeoDetector,,SM21809,software,GEODETECTOR,527
23,171216,comm,comm/PLoS_One/PMC7909679.nxml,7909679,33635898.0,10.1371/journal.pone.0247863,2021,Getis-Ord Statistics,15,Getis-Ord Statistics (G) is also a measure of local spatial association,Getis-Ord,,SM5347,software,GETIS-ORD,653
24,156313,,,,,10.1177/0731121418808800,2019,Findings and Discussion,14,Most activities at GLEAM were collaborative; competition was rarely involved,GLEAM,,SM34265,software,GLEAM,831
25,116522,,,,,10.1371/journal.pone.0037553,2012,Materials and Methods,5, The feature identification methods that were used were Glimmer3,Glimmer3,,SM10017,software,GLIMMER3,580
26,130486,,,,,10.1186/1742-4682-10-63,2013,paper_abstract,0,"Results indicated that both hydrogen bonding and hydrophobic interactions contributed significantly for its ligand binding and the compound selected as potent inhibitor is having minimum binding affinity, maximum GoldScore and minimum FlexX energy",GoldScore,,SM95970,software,GOLDSCORE,430
27,145610,non_comm,non_comm/Onco_Targets_Ther/PMC4498723.nxml,4498723,26170696.0,10.2147/OTT.S73731,2015,Statistical analysis,10,All statistical calculations were performed using SPSS software and GraphPad Prizm 5.0,GraphPad Prizm,5.0,SM4850,software,GRAPHPAD PRIZM,771
28,278556,,,,,10.1590/0100-3984.2019.0135,2021,MATERIALS AND METHODS,4," In our study, all lesions were submitted to semi-automated segmentation with the GrowCut tool (3D Slicer, Boston, MA, USA), a interactive segmentation method",GrowCut,,SM64768,software,GROWCUT,811
29,176766,comm,comm/Cancers_(Basel)/PMC8233801.nxml,8233801,34204319.0,10.3390/cancers13123031,2021,2.1. mIF Assay and Data Generation,6,"In HALO, a supervised classifier using a random forest algorithm is trained to classify tissue as tumor, stroma, and glass (no tissue) regions [55,62,63]",HALO,,SM15504,software,HALO,1555
30,57197,comm,comm/PLoS_Genet/PMC2694358.nxml,2694358,19557189.0,10.1371/journal.pgen.1000534,2009,Summary of statistical approach,11,"In addition to including primary abstract references about genes listed in Entrez Gene, we augment our text compendium with references to orthologous genes listed in Homologene [23]; this increases the number of articles available per gene from 6 to 12 (see Table 1)",Homologene,,SM15756,software,HOMOLOGENE,1677
31,116851,non_comm,non_comm/J_Biomol_Struct_Dyn/PMC7784837.nxml,7784837,33353499.0,10.1080/07391102.2020.1861983,2020,Discussion,46,"In this study, considering structural pattern for TM region and cytosolic C-terminal region, trRosetta (model 5; TM score: 0.64; TM region RMSD: 2 Å) has provided relatively better model than Robetta (model 4; TM score: 0.61; TM region RMSD: 3.3 Å) and I-TASSER (TM score: 0.45; TM region RMSD: 6.5 Å)",I-TASSER,,SM1028,software,I-TASSER,10409
32,84897,comm,comm/Front_Pharmacol/PMC7759682.nxml,7759682,33362540.0,10.3389/fphar.2020.569251,2020,Immunohistochemistry,14,Expression of ZO-1 and VE-cadherin was visualized by a light microscope (EVOS FL AutoLife Technologies) and quantified from six randomly selected fields of view using Image-Pro-Plus 6,Image-Pro-Plus,6,SM31937,software,IMAGE-PRO-PLUS,251
33,159437,comm,comm/BMC_Evol_Biol/PMC3502508.nxml,3502508,22920570.0,10.1186/1471-2148-12-154,2012,Discussion,48,"Using InterPro Scan, only 10 bHLH sequences were identified",InterPro Scan,,SM57141,software,INTERPRO SCAN,277
34,162312,comm,comm/Front_Cell_Dev_Biol/PMC6823594.nxml,6823594,31709254.0,10.3389/fcell.2019.00248,2019,,23,Differential abundant transcripts in the comparisons of C57Bl6 and alb-SREBP-1c mice were subjected to knowledge-based analyses using IPA® to identify causal networks,IPA®,,SM66790,software,IPA®,521
35,250916,,,,,10.1186/s13321-019-0331-1,2019,Reinforcing the basics,33,"Functions form the basis for class creation in JavaScript, which will lead to the implementation of OOP; this method of programming is essential for implementing chemistry algorithms",JavaScript,,SM36791,software,JAVASCRIPT,2291
36,279257,,,,,10.3389/fnsyn.2020.00030,2020,Materials and Methods,8,The analysis was performed using AxoGraph X and KaleidaGraph (Synergy Software) software,KaleidaGraph,,SM2533,software,KALEIDAGRAPH,3521
37,80868,comm,comm/Front_Neurol/PMC8116947.nxml,8116947,33995250.0,10.3389/fneur.2021.651592,2021,MAP Maps Calculation,11,"The normal database, consisting of 150 subjects (70 females, 80 males; mean age: 30.9 years; range 15–77 years), was kindly provided with the MAP program and has been tested in many studies with patients' age ranging from 2 to 66 years old (16, 17, 24, 25).",MAP,,SM29628,software,MAP,9945
38,192877,,,,,10.4172/1747-0862.1000183,2016,Mutation verification,0, PCR primers and allelic-specific extension primers were designed with the MassARRAY Assay Design 4,MassARRAY Assay Design,,SM15875,software,MASSARRAY ASSAY DESIGN,364
39,104136,,,,,10.1007/s10530-019-01930-0,2019,Invasion debt,2,Environmental suitability for each of the three Black Bass species was delineated based on the logistic output from the MAXENT models,MAXENT,,SM34428,software,MAXENT,29530
40,20895,,,,,10.1093/nar/gky834,2019,Clusters quality,1,Assessed mean recall and precision of CARNAC-LR+Minimap,Minimap,,SM36901,software,MINIMAP,348
41,135817,comm,comm/Int_J_Mol_Sci/PMC6747449.nxml,6747449,31466297.0,10.3390/ijms20174214,2019,4.4. Phylogenetic Analyses,16,ModelFinder [54] plugin integrated into PhyloSuite was used to calculate the Best-fit model,ModelFinder,,SM45539,software,MODELFINDER,1873
42,196873,comm,comm/Mar_Drugs/PMC6950322.nxml,6950322,31771309.0,10.3390/md17120661,2019,fig_caption,2,The Venn diagram plotted by OrthoVenn2 shows shared orthologous protein clusters among the genomes of five Zobellia strains,OrthoVenn2,,SM1423,software,ORTHOVENN2,246
43,171356,,,,,10.1186/s40246-019-0226-2,2019,Results,5," PADOG, GSEA-S, and Camera show the lowest overlap scores",PADOG,,SM5264,software,PADOG,306
44,210791,comm,comm/Sci_Rep/PMC5997640.nxml,5997640,29895868.0,10.1038/s41598-018-27056-2,2018,fig_caption,3,The data were previously detrended and smoothed (a) using PAST 3.1 software program,PAST,3.1,SM744,software,PAST,8895
45,74357,comm,comm/BMC_Bioinformatics/PMC1403806.nxml,1403806,16441875.0,10.1186/1471-2105-7-45,2006,Authors' contributions,59,"ML and OC implemented the software (Perl scripts) and the graphical user interface, and were the primary authors of the manuscript",Perl scripts,,SM8659,software,PERL SCRIPTS,5555
46,135281,comm,comm/PLoS_One/PMC2864769.nxml,2864769,20463926.0,10.1371/journal.pone.0010500,2010,Application of Phenex to Evolutionary Phenotypes,31,"One the strengths of Phenex is to enable the effective division of labor within a collaborative curation workflow, specifically between tasks that do not require domain expertise and those that do",Phenex,,SM21499,software,PHENEX,354
47,3014,,,,,10.1371/journal.pone.0112963,2014,Material and Methods,22,"Pilon then tries k-mers from the trusted flanks as starting points to walk into the untrusted region from each side, building all possible extensions with up to five branching points (2",Pilon,,SM5128,software,PILON,2728
48,59518,non_comm,non_comm/Neuroimage_Clin/PMC8436158.nxml,8436158,34525436.0,10.1016/j.nicl.2021.102806,2021,Discussion,26,"These properties make PLSR well-suited for analyzing fMRI data, where brain regions with similar functions tend to have covarying fMRI signals",PLSR,,SM34258,software,PLSR,9964
49,107489,,,,,10.3389/fphar.2015.00213,2015,Phase 1 parameters,6," The trend in cardiac output from new-born to adulthood encoded into PopGen is based upon reference man (ICRP, ",PopGen,,SM32415,software,POPGEN,340
50,43841,comm,comm/Algorithms_Mol_Biol/PMC4015676.nxml,4015676,24602402.0,10.1186/1748-7188-9-4,2014,Background,3,Probcons and Probalign also adopt an iterative refinement step,Probalign,,SM35807,software,PROBALIGN,378
51,133922,comm,comm/PLoS_One/PMC2748717.nxml,2748717,19789652.0,10.1371/journal.pone.0007226,2009,Validation of gene array results by qPCR,30,Primers were designed using ProbeFinder version 2.35 for the Mouse Universal ProbeLibrary (http://www.universalprobelibrary.com) from Roche Applied Science and were purchased from MedProbe (primer sequences are listed in the supporting information ),ProbeFinder,,SM27675,software,PROBEFINDER,486
