Column1,software,count,rand_urls,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
100,YFPEITHI,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036183/,NAM,SN,Y,N,N,Y,,,,_ALL,
101,ISUOG,1,https://doi.org/10.3390/jcm9051521;https://www.ncbi.nlm.nih.gov/pubmed/32443538/,PUB,NA,Y,N,N,Y,,,,_ALL,charitable org
102,SISE,1,https://www.ncbi.nlm.nih.gov/pubmed/33286541/;https://doi.org/10.3390/e22070769,PUB,NA,Y,N,N,Y,,,,_ALL,A generic mathematical model for modeling epidemics
103,LabOn Time,1,https://api.elsevier.com/content/article/pii/S1386653220301554;https://www.ncbi.nlm.nih.gov/pubmed/32403010/;https://www.sciencedirect.com/science/article/pii/S1386653220301554?v=s5;https://doi.org/10.1016/j.jcv.2020.104413,NAM,NA,Y,N,N,Y,,,,_ALL,A test assay platform
104,MircoED,1,https://api.elsevier.com/content/article/pii/S0959440X20300890;https://www.ncbi.nlm.nih.gov/pubmed/32610218/;https://www.sciencedirect.com/science/article/pii/S0959440X20300890;https://doi.org/10.1016/j.sbi.2020.05.018,PUB,NA,Y,N,N,Y,,,,_ALL,"Method in crytallography, note typo ""MircoEd""!"
105,EUROLab Workstation,1,https://www.sciencedirect.com/science/article/pii/S0009898120304344?v=s5;https://doi.org/10.1016/j.cca.2020.09.002;https://www.ncbi.nlm.nih.gov/pubmed/32910980/;https://api.elsevier.com/content/article/pii/S0009898120304344,NAM,NA,Y,N,N,Y,,,,_ALL,Hardware lab workstation
106,MWorks,1,https://doi.org/10.1101/2020.08.11.246355,URL,SN,Y,Y,N,Y,"c++, python",https://github.com/mworks/mworks,,_ALL,
107,Invisalign,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698787/,INS,NA,Y,N,N,Y,,,,_ALL,A teeth aligner
108,HAVING,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250599/,NAM,SF,Y,N,N,N,sparql,,,_ALL,A SPARQL function
109,GGPlot2,3,https://doi.org/10.1101/2020.07.06.182972;https://www.ncbi.nlm.nih.gov/pubmed/32676594/,PRO,SN,Y,Y,N,Y,r,,x,_ALL,"PUB-like, but with no information about the publication venue, which is only as useful as NAM"
110,CORTICUS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143852/,NAM,NA,Y,N,N,Y,,,,_ALL,A study
111,RealStats Resource Pack,1,https://doi.org/10.1093/biolre/ioaa082;https://www.ncbi.nlm.nih.gov/pubmed/32588889/,URL,SN,Y,N,N,Y,excel,,,_ALL,Excel plugin
112,NetworKit,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7735677/,"URL, PUB",SN,Y,N,N,N,"c++, python",https://github.com/networkit/networkit,,_ALL,"Could be counted as SC, as URL leads to the github.io page"
113,MCCE (Multi Conformer Continuum Electrostatic),1,https://www.ncbi.nlm.nih.gov/pubmed/32478523/;https://doi.org/10.1021/acs.jpclett.0c01064,PUB,SN,Y,N,N,Y,,,,_ALL,
114,MESH,1,https://api.elsevier.com/content/article/pii/S0163445317304139;https://www.ncbi.nlm.nih.gov/pubmed/29305150/;https://www.sciencedirect.com/science/article/pii/S0163445317304139;https://doi.org/10.1016/j.jinf.2017.12.014,NAM,NA,Y,N,N,Y,,,,_ALL,MeSH - Medical Subject Headings
