Column1,software,count,rand_urls,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
100,YFPEITHI,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036183/,NAM,SN,Y,N,N,Y,,,,OK,"In the referenced paper, the software is called SYFPEITHI, but 'S' missing in the annotated paper. The actual paper on this software is https://doi.org/10.1007/s002510050595, but not referenced in the annotated paper."
101,ISUOG,1,https://doi.org/10.3390/jcm9051521;https://www.ncbi.nlm.nih.gov/pubmed/32443538/,PUB,NA,Y,N,N,Y,,,,OK,ISUOG = International Society for Ultrasound in Obstetrics and Gynecology
102,SISE,1,https://www.ncbi.nlm.nih.gov/pubmed/33286541/;https://doi.org/10.3390/e22070769,PUB,NA,Y,N,N,Y,,,,OK,SISE = susceptible-infected-susceptible epidemic
103,LabOn Time,1,https://api.elsevier.com/content/article/pii/S1386653220301554;https://www.ncbi.nlm.nih.gov/pubmed/32403010/;https://www.sciencedirect.com/science/article/pii/S1386653220301554?v=s5;https://doi.org/10.1016/j.jcv.2020.104413,INS,NA,N,N,N,Y,,,,OK,"The 2019-n-CoV IgG/IgM rapid test cassette (LaboOn Time) (LabOn Time, Bio Marketing Diagnostics, or Akiva, Israel) is a lateral flow chromatographic immunoassay for the qualitative detection of IgG and IgM antibodies against SARS-CoV-2 in human whole blood, serum or plasma specimens."
104,MircoED,1,https://api.elsevier.com/content/article/pii/S0959440X20300890;https://www.ncbi.nlm.nih.gov/pubmed/32610218/;https://www.sciencedirect.com/science/article/pii/S0959440X20300890;https://doi.org/10.1016/j.sbi.2020.05.018,NAM,NA,Y,N,N,Y,,,,OK,Microcrystal electron diffraction (note a typo in the paper - it mostly uses MicroED but has several occasions of MircoED)
105,EUROLab Workstation,1,https://www.sciencedirect.com/science/article/pii/S0009898120304344?v=s5;https://doi.org/10.1016/j.cca.2020.09.002;https://www.ncbi.nlm.nih.gov/pubmed/32910980/;https://api.elsevier.com/content/article/pii/S0009898120304344,NAM,NA,Y,N,N,Y,,,,OK,Lab equipment
106,MWorks,1,https://doi.org/10.1101/2020.08.11.246355,URL,SN,Y,Y,N,N,,https://github.com/mworks/mworks,x,OK,The website referenced in the paper does not work. Apparently https://mworks.github.io/. Is SN the right code for QA column then?
107,Invisalign,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698787/,INS,NA,Y,N,N,Y,,,,OK,3D printing material
108,HAVING,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250599/,NAM,NA,Y,N,N,N,,,x,OK,"""The SPARQL 1.1 language [18] introduces new features for supporting aggregation queries: i) A collection of aggregate functions for computing values, like COUNT, SUM, MIN, MAX and AVG; ii) GROUP BY and HAVING. HAVING restricts the application of aggregate functions to groups of solutions satisfying certain conditions. "" where [18] is ""18. Steve, H., Andy, S.: SPARQL 1.1 query language. In: Recommendation W3C (2013)"""
109,GGPlot2,3,https://doi.org/10.1101/2020.07.06.182972;https://www.ncbi.nlm.nih.gov/pubmed/32676594/,PRO,SN,Y,Y,N,Y,r,https://github.com/tidyverse/ggplot2,,OK,
110,CORTICUS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143852/,NAM,NA,Y,N,N,Y,,,,OK,Apparently name of another project referenced in chapter 4 of the same book
111,RealStats Resource Pack,1,https://doi.org/10.1093/biolre/ioaa082;https://www.ncbi.nlm.nih.gov/pubmed/32588889/,URL,SC,Y,N,N,Y,excel,,,OK,.xlam file
112,NetworKit,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7735677/,PRO,SN,Y,N,N,Y,python,https://github.com/networkit/networkit,,OK,High-performance algorithms are written in C++ and exposed to Python via the Cython toolchain
113,MCCE (Multi Conformer Continuum Electrostatic),1,https://www.ncbi.nlm.nih.gov/pubmed/32478523/;https://doi.org/10.1021/acs.jpclett.0c01064,PUB,SN,Y,N,N,Y,,,,OK,In the cited paper it is called MCCE2
