software,count
"Snap",16
"DICOM SandBox",1
"ggpack",1
"pmcmr",1
"piStar",2
"DiscoTope2",4
"Pharmanet",1
"GICA",1
"Social",6
"PCNV",8
"Genetica",1
"ARTLIAS",1
"dLinto",1
"PIQMEE",5
"HySys",1
"OpenWhisk Python runtime",1
"Folder Automation",1
"Epidemic Calculator",8
"iGLAS",1
"Instant Recess",1
"GIT",6
"AutoVue Innova",10
"Arogya Setu App",1
"DNAStar package",1
"SBE",1
"AskNowQA",1
"MIMIC",8
"BFHI",1
"MedAdvisor PlusOne",5
"Horus",4
"OF",1
"NoDupsNonFunc",2
"GNU",17
"SoapAligner",1
"Google search volume",1
"PASMICOR",2
"LiveHoods",1
"Tele",5
"Ribosomal Multilocus Sequence Typing (rMLST)",1
"Verigene Ò",2
"AIROYoung",1
"IncuCyte imager",1
"Well",11
"json",1
"RuSentRel",2
"pooledHyp",1
"iCircDA",1
"PWMEnrich",1
"spRTEM",1
"ASCOD",1
"- dump",2
"PsychThApprO",11
"CoPIC",1
"Cellprofiler",4
"GaussianFinder",1
"- Tractor",1
"Meke Meter",1
"Treeio",1
"Typeform",1
"DelPhiPKa",2
"Marktest",1
"Energy Quest",1
"BAND",1
"Google Chart API",2
"PHASER (",1
"TeKGraph",1
"RT 2 Profiles Array Data Analysis",1
"Fast Microsatellite Discoverer (FMSD)",1
"PyFS",5
"Jext",3
"rvtest",2
"SIMUL8",1
"SRLF",1
"VGAS (Viral Genome Annotation System)",1
"featureCounts Galaxy",1
"Protein Digestion Server",1
"FIFI",1
"geoserver",1
"Matlab Psychophysics Toolbox",1
"Netica",1
"Images Sorter",1
"Hadoop File System",1
"PregSure",1
"1000 Functional Connectomes Project scripts",1
"Docker Compose 4",1
"Serco",2
"Crisis",2
"LOVIT",1
"LifeSize",1
"CTL Biospot analyzer",2
"MoCap",2
"iToL",5
"Meet",7
"InnovationACT",3
"Circos",1
"Pathao",1
"MassARRAY",2
"GCNConv",2
"RDP3 Beta",1
"R0",18
"YFPEITHI",1
"ISUOG",1
"SISE",1
"LabOn Time",1
"MircoED",1
"EUROLab Workstation",1
"MWorks",1
"Invisalign",1
"HAVING",1
"GGPlot2",3
"CORTICUS",1
"RealStats Resource Pack",1
"NetworKit",2
"MCCE (Multi Conformer Continuum Electrostatic)",1
"MESH",1
"AKITA",2
"Sehha App",1
"CCV",1
"MyOSA",2
"ICPis",1
"KAWA",3
"Probiosafe",1
"Viral genome Evolution Network Analysis System (VENAS)",1
"Moodfit",1
"COMVC19",1
"Yasara",1
"GtrendsR",1
"R package APE",1
"AiCure",1
"RemyCC",1
"MolDx",1
"ClonFor",1
"pLingeling",19
"CAQE",6
"Motel One",1
"Sketch Engine COVID -Sinequa COVID - 19 Intelligent Search Search Search",1
"COVIDnet",6
"scDeepCluster",1
"Cedars100",1
"Cipro",1
"SLIC",1
"TACTIC",14
"KINETIC",1
"Sina Microblog",22
"COordinar",1
"ArcToolbox",1
"GRAMMAS",1
"QNN",2
"SLiMDisc",1
"AUTO3DEMSPARX",1
"ABI StepOne TM",1
"UPSIT",5
"COV19",6
"Globalizaje",1
"PPFS (Predict Phenotypes from SNPs)",1
"SpotBugs",2
"EMETS MCDA",2
"Jaima",1
"Friendfeed",1
"GAFINet",1
"ECIL",1
"FastQC",215
"CoMiFin",4
"Ingenuity Pathways",2
"C6",2
"Feynrules",1
"IMTEK",1
"SeqUtils",2
"FISCUS",1
"SP Glide",1
"BindUP",1
"MDAGRF",1
"FluMist",7
"Community Assessment for Public Health Emergency Response Geographic Information System Toolbox",1
"SSDA",1
"ArcPad",1
"ECDC",2
"and",1
"JOTPY",29
"ASM",3
"WatchOS App",1
"CONSIP",1
"COMPARE COllaborative Management Platform for detection",1
"Cubed",50
"nScope",3
"dpll",5
"BrainyQuote",1
"TopHat2",3
"REML",8
"Seurat Find",1
"BRB Array Tools",1
"iPathwayGuide",14
"OpenMeta",1
"Math Kernel Library (MKL)",1
"Tools",12
"DeepHLApan",11
"markovchain",1
"ROSES",2
"Cochrane Risk of Bias tool",1
"ACMG",1
"Glomax Explorer",1
"ESEE (Eyeball Sequence Editor)",1
"Bychain",12
"GoogleClasroom",1
"Excelpackage",2
"Hipre",1
"IMET",1
"NASA",3
"SAMN",3
"FECO",1
"Illumina basecalling pipeline",1
"Quest",37
"NASPER",1
"FLARE Analysis Cycle (",1
"Vivex",2
"eSKA",4
"CIDARS",2
"MIMARKS",2
"Moerover",2
"DALY",5
"KAMI",1
"PrimalSeq",10
"Insight II Spartan Pro",1
"id",1
"Surge",2
"SGDM",6
"RCPath",5
"IsoData",2
"Watch",16
"COEN",7
"PIO",1
"CANTATA",1
"POATRAND",1
"ODYSSEE",1
"ImPACT",2
"Clap for SGUnited",1
"SIRT",4
"RobertaTokenizer",1
"Emscripten",2
"Quadratic Phenotypic Optimization Platform [ QPOP ]",1
"Open Science Grid",1
"Rhetorik",1
"Ceditest",1
"R package WRS2",1
"2S",5
"KnowItAll® Informatics system",1
"Questionnaire Star Tool",1
"CATalyst Studios",1
"AMC",5
"Inception Net V3",1
"scTHS",1
"CpHMD",19
"Internet Archive Wayback Machine",1
"NCEPOD",1
