,software,count,urls
293,Genmod,1,"[['https://doi.org/10.4178/epih.e2016048', 'https://www.ncbi.nlm.nih.gov/pubmed/28196409/']]"
294,Android Bluetooth LE scanner,2,"[['https://arxiv.org/pdf/2006.08543v1.pdf', 'https://www.ncbi.nlm.nih.gov/pubmed/32997724/', 'https://doi.org/10.1371/journal.pone.0239943']]"
295,InfAct,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33514433/', 'https://doi.org/10.1186/s13690-021-00531-5']]"
296,PERMAONVA,1,"[['https://doi.org/10.3389/fmicb.2020.569630', 'https://www.ncbi.nlm.nih.gov/pubmed/33363519/']]"
297,Spinach2,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6650947/']]
298,Fast,32,"[['https://arxiv.org/pdf/2012.02197v2.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/33191916/', 'https://doi.org/10.7554/elife.63274'], ['https://arxiv.org/pdf/2011.02213v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313891/'], ['https://doi.org/10.1016/j.clon.2020.05.013', 'https://www.ncbi.nlm.nih.gov/pubmed/32487503/'], ['https://www.ncbi.nlm.nih.gov/pubmed/28575358/', 'https://doi.org/10.1093/cid/cix081'], ['https://www.sciencedirect.com/science/article/pii/S1413867018303453', 'https://www.ncbi.nlm.nih.gov/pubmed/30365924/', 'https://doi.org/10.1016/j.bjid.2018.09.001', 'https://api.elsevier.com/content/article/pii/S1413867018303453'], ['https://www.sciencedirect.com/science/article/pii/B9780128160619000059', 'https://api.elsevier.com/content/article/pii/B9780128160619000059'], ['https://arxiv.org/pdf/2008.09305v1.pdf'], ['https://doi.org/10.1101/2020.04.15.043083'], ['https://arxiv.org/pdf/2101.05953v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7344353/'], ['https://doi.org/10.1186/s12942-016-0059-3', 'https://www.ncbi.nlm.nih.gov/pubmed/27510908/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33500738/', 'https://doi.org/10.1007/s11554-021-01070-6'], ['https://www.ncbi.nlm.nih.gov/pubmed/32873996/', 'https://www.sciencedirect.com/science/article/pii/S0140366420319022?v=s5', 'https://doi.org/10.1016/j.comcom.2020.08.015', 'https://api.elsevier.com/content/article/pii/S0140366420319022'], ['https://www.sciencedirect.com/science/article/pii/S0167701214002991', 'https://api.elsevier.com/content/article/pii/S0167701214002991', 'https://www.ncbi.nlm.nih.gov/pubmed/25448378/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103163/'], ['https://doi.org/10.1186/s12889-020-08988-9', 'https://www.ncbi.nlm.nih.gov/pubmed/32503604/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3048541/'], ['https://arxiv.org/pdf/2010.04427v1.pdf'], ['https://arxiv.org/pdf/2101.04012v2.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6121397/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32834685/', 'https://api.elsevier.com/content/article/pii/S0968090X20306422', 'https://doi.org/10.1016/j.trc.2020.102727', 'https://www.sciencedirect.com/science/article/pii/S0968090X20306422'], ['https://www.ncbi.nlm.nih.gov/pubmed/32511510/', 'http://medrxiv.org/cgi/content/short/2020.05.09.20096560v1?rss=1', 'https://doi.org/10.1101/2020.05.09.20096560'], ['https://www.sciencedirect.com/science/article/pii/S2468357420300243?v=s5', 'https://www.ncbi.nlm.nih.gov/pubmed/32838092/', 'https://doi.org/10.1016/j.isjp.2020.07.003', 'https://api.elsevier.com/content/article/pii/S2468357420300243'], ['https://www.sciencedirect.com/science/article/pii/S2001037020303408?v=s5', 'https://api.elsevier.com/content/article/pii/S2001037020303408', 'https://www.ncbi.nlm.nih.gov/pubmed/32802272/', 'https://doi.org/10.1016/j.csbj.2020.07.008'], ['https://www.ncbi.nlm.nih.gov/pubmed/33009451/', 'https://doi.org/10.1038/s41598-020-73462-w'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340928/'], ['https://doi.org/10.1016/j.asoc.2020.107057', 'https://www.sciencedirect.com/science/article/pii/S1568494620309959', 'https://api.elsevier.com/content/article/pii/S1568494620309959', 'https://www.ncbi.nlm.nih.gov/pubmed/33519326/']]"
299,filterList,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7767093/']]
300,AutoDock Tools1,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32948116/', 'https://doi.org/10.1080/07391102.2020.1819883']]"
301,- p,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/29223446/', 'https://doi.org/10.1016/j.virol.2017.11.025', 'https://api.elsevier.com/content/article/pii/S004268221730404X', 'https://www.sciencedirect.com/science/article/pii/S004268221730404X']]"
302,NText,1,[['https://arxiv.org/pdf/2009.03191v1.pdf']]
303,UTAUT,102,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7578238/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32665968/', 'https://api.elsevier.com/content/article/pii/S2352340920308209', 'https://doi.org/10.1016/j.dib.2020.105926', 'https://www.sciencedirect.com/science/article/pii/S2352340920308209?v=s5'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134280/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33333824/', 'https://doi.org/10.3390/healthcare8040563'], ['https://doi.org/10.3389/fpsyg.2020.554253', 'https://www.ncbi.nlm.nih.gov/pubmed/33262721/'], ['https://doi.org/10.1016/j.ijinfomgt.2020.102202', 'https://api.elsevier.com/content/article/pii/S0268401219315555', 'https://www.sciencedirect.com/science/article/pii/S0268401219315555', 'https://www.ncbi.nlm.nih.gov/pubmed/32836650/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486590/'], ['https://doi.org/10.1007/s10796-020-10096-3', 'https://www.ncbi.nlm.nih.gov/pubmed/33424421/'], ['https://doi.org/10.1016/j.tmp.2020.100730', 'https://www.sciencedirect.com/science/article/pii/S2211973620300970', 'https://api.elsevier.com/content/article/pii/S2211973620300970', 'https://www.ncbi.nlm.nih.gov/pubmed/32834961/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7366429/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7333583/'], ['https://www.sciencedirect.com/science/article/pii/S0268401220314535', 'https://doi.org/10.1016/j.ijinfomgt.2020.102254', 'https://api.elsevier.com/content/article/pii/S0268401220314535', 'https://www.ncbi.nlm.nih.gov/pubmed/33106720/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7798071/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33223925/', 'https://doi.org/10.1007/s10639-020-10385-z'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7509242/'], ['https://doi.org/10.3390/ijerph17113945', 'https://www.ncbi.nlm.nih.gov/pubmed/32498381/'], ['https://doi.org/10.1002/pa.2503', 'https://www.ncbi.nlm.nih.gov/pubmed/33173442/'], ['https://doi.org/10.3390/ijerph17207639', 'https://www.ncbi.nlm.nih.gov/pubmed/33092090/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134297/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7557312/'], ['https://doi.org/10.1016/j.ijhm.2020.102683', 'https://www.ncbi.nlm.nih.gov/pubmed/32929294/', 'https://api.elsevier.com/content/article/pii/S0278431920302358', 'https://www.sciencedirect.com/science/article/pii/S0278431920302358?v=s5'], ['https://www.sciencedirect.com/science/article/pii/S0738399120306844', 'https://www.ncbi.nlm.nih.gov/pubmed/33390304/', 'https://api.elsevier.com/content/article/pii/S0738399120306844', 'https://doi.org/10.1016/j.pec.2020.12.020'], ['https://doi.org/10.3390/healthcare8040544', 'https://www.ncbi.nlm.nih.gov/pubmed/33317044/'], ['https://www.sciencedirect.com/science/article/pii/S0016328720300859?v=s5', 'https://doi.org/10.1016/j.futures.2020.102595', 'https://api.elsevier.com/content/article/pii/S0016328720300859', 'https://www.ncbi.nlm.nih.gov/pubmed/32834075/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33521351/', 'https://doi.org/10.1016/j.heliyon.2021.e05928'], ['https://www.ncbi.nlm.nih.gov/pubmed/32641128/', 'https://doi.org/10.1186/s12911-020-01159-1'], ['https://www.ncbi.nlm.nih.gov/pubmed/32789821/', 'https://doi.org/10.1007/s40264-020-00981-w'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134319/'], ['https://api.elsevier.com/content/article/pii/S1447677020301595', 'https://www.sciencedirect.com/science/article/pii/S1447677020301595'], ['https://api.elsevier.com/content/article/pii/S0040162520312233', 'https://doi.org/10.1016/j.techfore.2020.120397', 'https://www.ncbi.nlm.nih.gov/pubmed/33071364/', 'https://www.sciencedirect.com/science/article/pii/S0040162520312233']]"
304,El,2,"[['http://medrxiv.org/cgi/content/short/2020.05.28.20115527v1?rss=1', 'https://doi.org/10.1101/2020.05.28.20115527'], ['https://www.sciencedirect.com/science/article/pii/S2212420920312991?v=s5', 'https://doi.org/10.1016/j.ijdrr.2020.101797', 'https://api.elsevier.com/content/article/pii/S2212420920312991', 'https://www.ncbi.nlm.nih.gov/pubmed/32834977/'], ['https://arxiv.org/pdf/2012.02885v1.pdf']]"
305,R package ggseqlogo,1,[['https://doi.org/10.1101/2020.11.09.374280']]
306,Proteome Discoverer1,1,[['https://doi.org/10.1101/212308']]
307,Gaode Map,2,"[['https://api.elsevier.com/content/article/pii/S0048969720377883', 'https://doi.org/10.1016/j.scitotenv.2020.144257', 'https://www.ncbi.nlm.nih.gov/pubmed/33352341/', 'https://www.sciencedirect.com/science/article/pii/S0048969720377883'], ['https://www.ncbi.nlm.nih.gov/pubmed/33266364/', 'https://doi.org/10.3390/ijerph17228663']]"
308,ThunderSTORM,3,"[['https://doi.org/10.1101/2020.09.04.283085'], ['https://doi.org/10.1101/2021.01.05.425371'], ['https://www.ncbi.nlm.nih.gov/pubmed/33478139/', 'https://doi.org/10.3390/v13010142']]"
309,Nucleotide Basic Local Alignment Search Tools (BLASTN),1,[['https://doi.org/10.1101/2020.12.02.408229']]
310,NeuroIRIS,1,"[['https://www.sciencedirect.com/science/article/pii/S0733861908000364', 'https://doi.org/10.1016/j.ncl.2008.03.009', 'https://www.ncbi.nlm.nih.gov/pubmed/18657725/', 'https://api.elsevier.com/content/article/pii/S0733861908000364']]"
311,ctlpred,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223762/']]
312,BiOnt,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148040/']]
313,pdr,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439740/']]
314,Time Search,3,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486125/']]
315,AVA,7,"[['https://www.ncbi.nlm.nih.gov/pubmed/32287979/', 'https://doi.org/10.1016/j.buildenv.2017.12.018', 'https://www.sciencedirect.com/science/article/pii/S0360132317305863', 'https://api.elsevier.com/content/article/pii/S0360132317305863'], ['https://doi.org/10.1016/j.buildenv.2017.11.041', 'https://api.elsevier.com/content/article/pii/S0360132317305541', 'https://www.sciencedirect.com/science/article/pii/S0360132317305541', 'https://www.ncbi.nlm.nih.gov/pubmed/32287978/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094934/'], ['https://www.sciencedirect.com/science/article/pii/S0360132308001455', 'https://doi.org/10.1016/j.buildenv.2008.06.013', 'https://www.ncbi.nlm.nih.gov/pubmed/32288005/', 'https://api.elsevier.com/content/article/pii/S0360132308001455'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7780856/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7159737/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5042924/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121554/'], ['https://www.sciencedirect.com/science/article/pii/S0167610516301854', 'https://api.elsevier.com/content/article/pii/S0167610516301854'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6423782/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32287983/', 'https://doi.org/10.1016/j.buildenv.2018.03.024', 'https://api.elsevier.com/content/article/pii/S0360132318301537', 'https://www.sciencedirect.com/science/article/pii/S0360132318301537'], ['https://doi.org/10.1016/j.buildenv.2013.10.008', 'https://www.ncbi.nlm.nih.gov/pubmed/32288025/', 'https://www.sciencedirect.com/science/article/pii/S0360132313002990', 'https://api.elsevier.com/content/article/pii/S0360132313002990'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095497/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33133302/', 'https://doi.org/10.1007/s12369-020-00706-0']]"
316,LIFD,1,"[['https://doi.org/10.1007/s40670-020-01179-6', 'https://www.ncbi.nlm.nih.gov/pubmed/33495719/']]"
317,Chem3D Pro,3,"[['https://api.elsevier.com/content/article/pii/S1319562X20306008', 'https://www.ncbi.nlm.nih.gov/pubmed/33199969/', 'https://doi.org/10.1016/j.sjbs.2020.11.038', 'https://www.sciencedirect.com/science/article/pii/S1319562X20306008?v=s5'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581273/']]"
318,QRISK,1,"[['https://doi.org/10.1101/2020.06.28.20141986', 'http://medrxiv.org/cgi/content/short/2020.06.28.20141986v1?rss=1'], ['https://www.ncbi.nlm.nih.gov/pubmed/33431065/', 'https://doi.org/10.1186/s41512-020-00090-3']]"
319,DISCoVER,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33354689/', 'https://doi.org/10.1101/2020.12.14.20247874', 'http://medrxiv.org/cgi/content/short/2020.12.14.20247874v1?rss=1']]"
320,Conacyt,1,"[['https://arxiv.org/pdf/2007.10806v1.pdf'], ['https://arxiv.org/pdf/2012.15209v1.pdf'], ['https://doi.org/10.1101/2021.01.27.21250642', 'http://medrxiv.org/cgi/content/short/2021.01.27.21250642v1?rss=1']]"
321,lnetThe,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7363220/']]
322,Seqed,1,"[['https://api.elsevier.com/content/article/pii/016817029290135V', 'https://www.sciencedirect.com/science/article/pii/016817029290135V', 'https://www.ncbi.nlm.nih.gov/pubmed/1332275/'], ['https://www.ncbi.nlm.nih.gov/pubmed/10442448/']]"
323,CRADLE,15,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7538188/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7173486/'], ['https://www.sciencedirect.com/science/article/pii/S1364661320301455', 'https://doi.org/10.1016/j.tics.2020.06.004', 'https://www.ncbi.nlm.nih.gov/pubmed/32624386/', 'https://api.elsevier.com/content/article/pii/S1364661320301455']]"
324,NTI,1,"[['https://doi.org/10.1016/j.vetmic.2009.01.031', 'https://api.elsevier.com/content/article/pii/S0378113509000522', 'https://www.sciencedirect.com/science/article/pii/S0378113509000522', 'https://www.ncbi.nlm.nih.gov/pubmed/19232845/']]"
325,QCapture,1,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4940803/'], ['https://www.sciencedirect.com/science/article/pii/S0042682208002067', 'https://api.elsevier.com/content/article/pii/S0042682208002067', 'http://europepmc.org/articles/pmc2574746?pdf=render', 'https://www.ncbi.nlm.nih.gov/pubmed/18456301/', 'https://doi.org/10.1016/j.virol.2008.03.034']]"
326,Adobe Acrobat Reader,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2741407/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7222983/']]"
327,SeqOPT,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164006/']]
328,Agile Manifesto,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7335232/']]
329,GSEApy,2,[['https://arxiv.org/pdf/2006.03735v1.pdf']]
330,Ennov Clinical®,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33371905/', 'https://doi.org/10.1186/s13063-020-04928-5']]"
331,Dietmate Pro,1,"[['https://doi.org/10.3390/nu12071977', 'https://www.ncbi.nlm.nih.gov/pubmed/32635174/']]"
332,PANEL,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7087606/']]
333,EchoPAC,1,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7018922/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32223761/', 'https://doi.org/10.1186/s12890-020-1099-9'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167610/'], ['https://api.elsevier.com/content/article/pii/S1071916420314366', 'https://www.ncbi.nlm.nih.gov/pubmed/32991982/', 'https://doi.org/10.1016/j.cardfail.2020.09.469', 'https://www.sciencedirect.com/science/article/pii/S1071916420314366?v=s5'], ['https://www.ncbi.nlm.nih.gov/pubmed/32902783/', 'https://doi.org/10.1007/s10554-020-02010-4'], ['https://doi.org/10.1186/s40560-020-00516-6', 'https://www.ncbi.nlm.nih.gov/pubmed/33472693/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103896/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7166920/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167033/']]"
334,You Only Look Once (YOLO,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32834685/', 'https://api.elsevier.com/content/article/pii/S0968090X20306422', 'https://doi.org/10.1016/j.trc.2020.102727', 'https://www.sciencedirect.com/science/article/pii/S0968090X20306422']]"
335,MODELLER8v1,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/']]
336,- 19 Research Tools,1,"[['https://doi.org/10.1093/sleep/zsaa258', 'https://www.ncbi.nlm.nih.gov/pubmed/33249492/']]"
337,LGBM,1,[['https://arxiv.org/pdf/2008.12833v1.pdf']]
338,scRepertoire,2,[['https://doi.org/10.1101/2020.08.24.264069']]
339,3DNA,5,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5416846/'], ['https://doi.org/10.1101/2020.04.07.029447'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4330382/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1636460/'], ['https://febs.onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.febslet.2011.03.002', 'https://www.sciencedirect.com/science/article/pii/S0014579311001529', 'https://api.elsevier.com/content/article/pii/S0014579311001529', 'https://doi.org/10.1016/j.febslet.2011.03.002', 'https://www.ncbi.nlm.nih.gov/pubmed/21382373/']]"
340,VisionPro Learning,1,[['https://arxiv.org/pdf/2010.00958v2.pdf']]
341,ZoraBots,1,"[['https://doi.org/10.1093/bib/bbaa361', 'https://www.ncbi.nlm.nih.gov/pubmed/33326994/']]"
342,MedBERT,2,[['https://arxiv.org/pdf/2010.07497v1.pdf']]
343,Puduppully,3,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148215/']]
344,CoLA,2,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148240/']]
345,VGI,4,"[['https://www.sciencedirect.com/science/article/pii/S1877584515000179', 'https://doi.org/10.1016/j.sste.2015.04.003', 'https://www.ncbi.nlm.nih.gov/pubmed/26046634/', 'https://api.elsevier.com/content/article/pii/S1877584515000179'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121788/'], ['https://api.elsevier.com/content/article/pii/B978012824313800005X', 'https://www.sciencedirect.com/science/article/pii/B978012824313800005X'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7433774/']]"
346,TwoVS,20,"[['https://api.elsevier.com/content/article/pii/S0378720615000087', 'https://www.sciencedirect.com/science/article/pii/S0378720615000087']]"
347,Triage,1,"[['https://arxiv.org/pdf/2010.09905v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/32579076/', 'https://doi.org/10.1080/22221751.2020.1787107']]"
348,ICNP®,1,"[['https://api.elsevier.com/content/article/pii/S0029655408001589', 'https://www.sciencedirect.com/science/article/pii/S0029655408001589', 'https://doi.org/10.1016/j.outlook.2008.06.009', 'https://www.ncbi.nlm.nih.gov/pubmed/18922277/']]"
349,BeeTrace,18,[['https://arxiv.org/pdf/2007.02285v1.pdf']]
350,SciVi scientific,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304727/']]
351,Clustal W2,6,"[['https://doi.org/10.1007/s00705-010-0850-6', 'https://www.ncbi.nlm.nih.gov/pubmed/21049275/'], ['https://doi.org/10.1007/s12293-009-0030-y', 'https://www.ncbi.nlm.nih.gov/pubmed/32218874/'], ['https://doi.org/10.1038/emboj.2013.232', 'http://europepmc.org/articles/pmc3844954?pdf=render', 'https://www.ncbi.nlm.nih.gov/pubmed/24169568/'], ['https://www.ncbi.nlm.nih.gov/pubmed/23640458/', 'https://doi.org/10.1038/cddis.2013.132'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4342338/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4020778/']]"
352,RCRA,1,[['https://arxiv.org/pdf/2012.02592v2.pdf']]
353,statistical package for the social sciences (SPSS,1,"[['https://doi.org/10.1371/journal.pone.0245512', 'https://www.ncbi.nlm.nih.gov/pubmed/33471833/'], ['https://doi.org/10.1186/s12985-016-0488-4', 'https://www.ncbi.nlm.nih.gov/pubmed/26916286/']]"
354,ECFS,2,"[['https://api.elsevier.com/content/article/pii/S2589004220312189', 'https://www.ncbi.nlm.nih.gov/pubmed/33426509/', 'https://www.sciencedirect.com/science/article/pii/S2589004220312189?v=s5', 'https://doi.org/10.1016/j.isci.2020.102021'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7668741/']]"
355,FoMO,17,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7369880/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352115/'], ['https://www.sciencedirect.com/science/article/pii/S0736585320301179?v=s5', 'https://api.elsevier.com/content/article/pii/S0736585320301179']]"
356,PubMLST,2,"[['https://doi.org/10.3390/pathogens9080640', 'https://www.ncbi.nlm.nih.gov/pubmed/32781697/'], ['https://doi.org/10.1101/2020.12.01.406348'], ['http://medrxiv.org/cgi/content/short/2020.11.18.20225029v1?rss=1', 'https://doi.org/10.1101/2020.11.18.20225029']]"
357,FPocket,16,"[['https://www.ncbi.nlm.nih.gov/pubmed/32708196/', 'https://doi.org/10.3390/ijms21145152']]"
358,Ontological,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250613/']]
359,EEMD,2,"[['https://www.sciencedirect.com/science/article/pii/S2542660520300615?v=s5', 'https://api.elsevier.com/content/article/pii/S2542660520300615'], ['https://www.sciencedirect.com/science/article/pii/S1057521920302556?v=s5', 'https://api.elsevier.com/content/article/pii/S1057521920302556']]"
360,EPUAP,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462022/']]
361,Pandemic Influenza Severity Assessment tool,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/31547606/', 'https://doi.org/10.3390/tropicalmed4040121']]"
362,RS Modification and Motif Analysis,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188828/']]
363,phylog,2,"[['https://doi.org/10.1038/s41598-019-40452-6', 'https://www.ncbi.nlm.nih.gov/pubmed/30842590/'], ['https://doi.org/10.1371/journal.pone.0003500', 'https://www.ncbi.nlm.nih.gov/pubmed/18941535/']]"
364,3DSEARCH,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168536/']]
365,FUNCAT,2,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7100641/']]
366,CovSegNethybrid,1,[['https://arxiv.org/pdf/2012.01473v1.pdf']]
367,CENTER,3,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7057641/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7210239/']]"
368,Atmel Studio,1,"[['https://arxiv.org/pdf/1902.09379v1.pdf', 'https://www.ncbi.nlm.nih.gov/pubmed/29877824/', 'https://doi.org/10.1109/tbcas.2018.2812222']]"
369,SHEET,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33219227/', 'https://doi.org/10.1038/s41597-020-00749-y']]"
370,RegSMOImproved,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/27490990/', 'https://doi.org/10.1111/cbdd.12834']]"
371,COVID Knowledge Extractor (COKE),1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7709174/']]
372,FlowJo®,2,"[['https://api.elsevier.com/content/article/pii/S0377840118315700', 'https://www.sciencedirect.com/science/article/pii/S0377840118315700', 'https://www.ncbi.nlm.nih.gov/pubmed/32288071/', 'https://doi.org/10.1016/j.anifeedsci.2020.114392'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7544523/'], ['https://doi.org/10.3390/v11090800', 'https://www.ncbi.nlm.nih.gov/pubmed/31470664/']]"
373,Promide,3,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120660/']]
374,Topol,2,"[['https://doi.org/10.1007/s10488-020-01065-8', 'https://www.ncbi.nlm.nih.gov/pubmed/32715427/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242768/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33442575/', 'https://doi.org/10.1159/000512681']]"
375,ChemoStar Professional,4,"[['https://www.ncbi.nlm.nih.gov/pubmed/30413791/', 'https://doi.org/10.1038/s41598-018-34859-w'], ['https://www.ncbi.nlm.nih.gov/pubmed/31964246/', 'https://doi.org/10.1080/22221751.2020.1713705'], ['https://doi.org/10.1101/2020.01.31.929042'], ['https://www.ncbi.nlm.nih.gov/pubmed/31618932/', 'https://doi.org/10.3390/pathogens8040192'], ['https://www.ncbi.nlm.nih.gov/pubmed/32142651/', 'https://doi.org/10.1016/j.cell.2020.02.052', 'https://www.sciencedirect.com/science/article/pii/S0092867420302294', 'https://api.elsevier.com/content/article/pii/S0092867420302294'], ['https://jvi.asm.org/content/jvi/93/2/e01381-18.full.pdf', 'https://www.ncbi.nlm.nih.gov/pubmed/30404801/', 'https://doi.org/10.1128/jvi.01381-18']]"
376,PhylloZyme,1,"[['https://doi.org/10.1111/pbi.13468', 'https://www.ncbi.nlm.nih.gov/pubmed/32799416/']]"
377,InMotion,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462035/']]
378,Temephos,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4962925/']]
379,catRAPID express,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7458403/']]
380,SEPAS,1,"[['https://doi.org/10.1021/acs.jproteome.0c00348', 'https://www.ncbi.nlm.nih.gov/pubmed/32786692/'], ['https://doi.org/10.1021/acs.jproteome.0c00273', 'https://www.ncbi.nlm.nih.gov/pubmed/32551648/']]"
381,LernRisk,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123823/']]
382,Graviton,3,"[['https://arxiv.org/pdf/2006.04654v1.pdf'], ['https://arxiv.org/pdf/2010.13216v1.pdf']]"
383,Buxco FinePointe,1,"[['https://api.elsevier.com/content/article/pii/S0092867420301707', 'https://www.sciencedirect.com/science/article/pii/S0092867420301707', 'https://doi.org/10.1016/j.cell.2020.02.026', 'https://www.ncbi.nlm.nih.gov/pubmed/32142653/']]"
384,DPOdactic,4,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314701/']]
385,google engine,1,"[['https://api.elsevier.com/content/article/pii/S0048969720323755', 'https://www.sciencedirect.com/science/article/pii/S0048969720323755', 'https://www.ncbi.nlm.nih.gov/pubmed/32336562/', 'https://doi.org/10.1016/j.scitotenv.2020.138858'], ['https://doi.org/10.14740/jocmr4142', 'https://www.ncbi.nlm.nih.gov/pubmed/32362969/']]"
