,software,count,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments,rand_urls
0,Snap,16,NAM,ST,N,N,No,Y,,,,_ALL,"In text as ""Snap Chat"" but should be SnapChat",https://www.ncbi.nlm.nih.gov/pubmed/32836482/;https://doi.org/10.1111/tesg.12430
1,DICOM SandBox,1,NAM,SN,Y,N,No,Y,,,,_ALL,Multiple papers in one PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3948175/
2,ggpack,1,PRO,SC,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7589861/
3,pmcmr,1,PUB,SC,Y,N,No,Y,,,,_ALL,Reference to CRAN,https://api.elsevier.com/content/article/pii/S0921344920304158;https://doi.org/10.1016/j.resconrec.2020.105098;https://www.ncbi.nlm.nih.gov/pubmed/32834491/;https://www.sciencedirect.com/science/article/pii/S0921344920304158?v=s5
4,piStar,2,PUB,SN,Y,Y,No,Y,,,,_ALL,,https://arxiv.org/pdf/2009.04327v2.pdf
5,DiscoTope2,4,PUB,SN,Y,Y,No,Y,,,,_ALL,Paper referenced is to a review article mentioning several pieces of software,https://doi.org/10.1101/2020.05.22.111526
6,Pharmanet,1,NAM,SN,Y,Y,Yes,Y,,,,_ALL,,https://doi.org/10.1101/2020.10.21.348441
7,GICA,1,NAM,NS,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33184753/;https://doi.org/10.1007/s10096-020-04102-4
8,Social,6,NAM,NA,N,N,No,Y,,,,_ALL,"picking up ""Social media"" in a list of software platforms",https://doi.org/10.1016/j.heliyon.2020.e05410;https://www.ncbi.nlm.nih.gov/pubmed/33195843/
9,PCNV,8,NAM,SN,Y,N,Yes,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32485813/;https://doi.org/10.3390/ijms21113859
10,Genetica,1,NAM,NA,N,N,No,N,,,,_ALL,"Picking up Genetica as software, but actually Instrument manufacturer ""STR profiling (Genetica)""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201879/
11,ARTLIAS,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S004938482030503X;https://doi.org/10.1016/j.thromres.2020.08.045;https://www.sciencedirect.com/science/article/pii/S004938482030503X?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32906012/
12,dLinto,1,PUB,NA,N,N,No,Y,,,,_ALL,"should be ""dL""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439732/
13,PIQMEE,5,NAM,SC,Y,N,Yes,N,,https://github.com/boskovav/piqmee/releases,,_ALL,Is this SF?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7530608/
14,HySys,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S0038092X20308793;https://www.sciencedirect.com/science/article/pii/S0038092X20308793;https://doi.org/10.1016/j.solener.2020.08.041;https://www.ncbi.nlm.nih.gov/pubmed/32863443/
15,OpenWhisk Python runtime,1,URL,SC,Y,N,No,N,,https://github.com/apache/openwhisk-runtime-python,,_ALL,"should the name just be ""OpenWhisk""?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7510803/
16,Folder Automation,1,NAM,SN,N,N,No,N,,,,_ALL,"Should this be ""Folder Automation Software""?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5536730/
17,Epidemic Calculator,8,URL,SC,Y,Y,No,Y,,https://gabgoh.github.io/COVID/index.html,,_ALL,,http://medrxiv.org/cgi/content/short/2020.05.31.20118182v1?rss=1;https://doi.org/10.1101/2020.05.31.20118182
18,iGLAS,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7608435/
19,Instant Recess,1,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552680/
20,GIT,6,NAM,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1093/nar/gkaa1125;https://www.ncbi.nlm.nih.gov/pubmed/33270886/
21,AutoVue Innova,10,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169255/
22,Arogya Setu App,1,NAM,SN,Y,N,No,N,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7381859/
23,DNAStar package,1,INS,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1371/journal.pntd.0003569;https://www.ncbi.nlm.nih.gov/pubmed/25811659/
24,SBE,1,NAM,NA,Y,N,No,Y,,,,_ALL,"Actually referring to three people's article ""In a recent article, Steel, Buchak and Eyal (SBE)"" ",https://doi.org/10.1136/medethics-2020-106793;https://www.ncbi.nlm.nih.gov/pubmed/32900846/
25,AskNowQA,1,PRO,NA,Y,N,No,Y,,https://github.com/AskNowQA/VQUANDA,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250603/
