,Country,Affiliations
0,United States,43083
1,China,22499
2,United Kingdom,14666
3,Italy,10936
4,France,8229
5,Germany,8096
6,Spain,8010
7,Canada,6445
8,Australia,6048
9,India,5560
10,Japan,3932
11,South Korea,3727
12,Brazil,3580
13,Netherlands,3534
14,Taiwan,2919
15,Iran,2432
16,Switzerland,2413
17,Singapore,1895
18,Saudi Arabia,1855
19,Belgium,1804
20,Sweden,1725
21,Hong Kong,1676
22,Turkey,1590
23,Poland,1230
24,Denmark,1167
25,South Africa,1153
26,Egypt,1129
27,Israel,1086
28,Portugal,1043
29,Austria,1028
30,Russian Federation,953
31,Greece,949
32,Ireland,927
33,Mexico,923
34,Pakistan,904
35,Norway,819
36,Finland,784
37,Bangladesh,754
38,Viet Nam,749
39,Thailand,688
40,Malaysia,687
41,Nigeria,680
42,Argentina,615
43,Colombia,559
44,New Zealand,542
45,Indonesia,482
46,Czech Republic,459
47,Hungary,413
48,Chile,410
49,United Arab Emirates,367
50,Kenya,360
51,Ethiopia,342
52,Peru,323
53,Romania,306
54,Jordan,291
55,Morocco,286
56,Tunisia,265
57,Qatar,262
58,Croatia,256
59,Uganda,221
60,Ghana,208
61,Nepal,203
62,Philippines,197
63,Lebanon,187
64,Serbia,173
65,Slovenia,170
66,Iraq,165
67,Ecuador,147
68,Kuwait,135
69,Cameroon,134
70,Macao,124
71,Oman,113
72,Tanzania,111
73,Estonia,103
74,Cyprus,99
75,Algeria,98
76,Luxembourg,95
77,Bulgaria,95
78,Sudan,87
79,Uruguay,85
80,Cambodia,85
81,Sri Lanka,84
82,Ukraine,84
83,Slovakia,80
84,Libyan Arab Jamahiriya,76
85,Madagascar,73
86,Lithuania,71
87,Senegal,70
88,Sierra Leone,70
89,Zambia,68
90,Cuba,66
91,Palestine,66
92,Democratic Republic Congo,66
93,Zimbabwe,66
94,Malawi,65
95,Venezuela,59
96,Rwanda,54
97,Kazakhstan,48
98,Malta,47
99,Mozambique,45
100,Bahrain,41
101,Georgia,39
102,Puerto Rico,39
103,Mali,38
104,Congo,37
105,Laos,36
106,Namibia,35
107,Iceland,35
108,Guinea,34
109,Gabon,34
110,Yemen,33
111,Cote d'Ivoire,32
112,Botswana,32
113,Paraguay,32
114,Bosnia and Herzegovina,31
115,Honduras,31
116,Guatemala,30
117,Panama,29
118,Latvia,28
119,Burkina Faso,26
120,Costa Rica,24
121,Brunei Darussalam,24
122,Benin,23
123,Jamaica,22
124,Trinidad and Tobago,22
125,Bolivia,21
126,Syrian Arab Republic,20
127,Myanmar,20
128,Belarus,19
129,Mauritius,19
130,Mongolia,19
131,Afghanistan,17
132,North Macedonia,17
133,Nicaragua,16
134,Albania,16
135,Togo,16
136,Saint Kitts and Nevis,15
137,Dominican Republic,15
138,Gambia,15
139,Grenada,14
140,Liberia,13
141,Haiti,13
142,Armenia,13
143,Azerbaijan,12
144,French Guiana,10
145,Niger,10
146,Barbados,9
147,Monaco,9
148,Bhutan,9
149,Reunion,9
150,Faroe Islands,9
151,El Salvador,8
152,Swaziland,8
153,Montenegro,8
154,Kyrgyzstan,7
155,Fiji,7
156,Somalia,6
157,Seychelles,6
158,Equatorial Guinea,6
159,Suriname,6
160,Uzbekistan,6
161,Liechtenstein,6
162,Chad,5
163,Central African Republic,5
164,Eritrea,5
165,Lesotho,5
166,Solomon Islands,5
167,New Caledonia,5
168,Burundi,4
169,Papua New Guinea,4
170,Djibouti,4
171,Guinea-Bissau,4
172,Moldova,4
173,Andorra,4
174,Guyana,3
175,Guadeloupe,3
176,Martinique,3
177,Saint Vincent and the Grenadines,2
178,North Korea,2
179,Aruba,2
180,San Marino,2
181,Netherlands Antilles,2
182,Belize,2
183,Samoa,2
184,Angola,2
185,Saint Lucia,1
186,Bahamas,1
187,Federated States of Micronesia,1
188,Mauritania,1
189,Curaçao,1
190,Gibraltar,1
191,Saint Pierre and Miquelon,1
192,Antigua and Barbuda,1
193,French Polynesia,1
194,Saint Helena,1
195,Russia,1
196,Greenland,1
197,Kiribati,1
198,Cayman Islands,1
199,Dominica,1
